Job Title,Company Name,Location,Description,Salary,MetaData,Posting
"Software Engineer, Full Stack",Charlie Health,"Remote in New York, NY","  Further, cash compensation is only part of the total compensation package, which, depending on the position, may include stock options and other Charlie Health… ·More...",,"$129,000 - $160,000 a year",
Founding Software Engineer,Chapter One,"New York, NY 10001 (Murray Hill area)","  You will work closely with cross-functional teams to design, develop, and maintain software applications that meet the needs of our clients. EmployerActive 19 days ago·More...",,"$129,000 - $160,000 a year",Active 19 days ago
Software Engineer - Fullstack,Brigit,"New York, NY",  3+ years of industry experience as a software engineer.  Evolving the APIs supporting User flows to ensure a great user experience. ·More...,,"$129,000 - $160,000 a year",
Software Engineer II,Affirm,"Remote in New York, NY",  2+ years proven experience as a software engineer.  ESPP - An employee stock purchase plan enabling you to buy shares of Affirm at a discount. ·More...,,"$129,000 - $160,000 a year",
Software Engineer II,Affirm,"Remote in New York, NY","  You have a total of 1.5+ years of experience as a software engineer.  As a developer on this team you will collaborate with engineers across product,… ·More...",,"$129,000 - $160,000 a year",
Software Engineer - C#,Millennium Management,"New York, NY","  Experience working on AWS and cloud technologies.  These systems cover Margin, Cash and Collateral Management, Treasury Operations, and Equity Finance; they are… ·More...",,"$129,000 - $160,000 a year",
Developer - (Open to remote),Penguin Random House LLC,"Remote in New York, NY 10019",  Familiarity with agile software development methodology.  Familiarity with source code control.  Working knowledge of object-oriented design. ·More...,,"$129,000 - $160,000 a year",
Software Engineer - Liquidity Trade Processing - Associate - NYC,Goldman Sachs,"New York, NY 10282 (Battery Park area)","  A summary of these offerings, which are generally available to active, non-temporary, full-time and part-time US employees who work at least 20 hours per week. ·More...",,"$129,000 - $160,000 a year",
Software Engineer - Frontend,Datadog,"Hybrid work in New York, NY","  New hire stock equity (RSUs) and employee stock purchase plan.  Work closely with backend engineers, product managers and designers to inform/refine/validate… ·More...",,"$129,000 - $160,000 a year",
"Software Engineer, Backend",Imprint,"Hybrid work in New York, NY","  2+ years of software development experience.  Track record of building and delivering mission-critical, 24x7 production software systems. ·More...",,"$129,000 - $160,000 a year",
Junior Software Developer,nuArch,"Hybrid work in New York, NY","  To ensure success as a junior software developer, you should have a good working knowledge of basic programming languages, the ability to learn new technology… ·More...",,"$129,000 - $160,000 a year",
"Software Engineer, Backend (3+ years of experience)",Captions,"New York, NY 10022 (Sutton Place area)",  Build scalable architecture and products that shape the future of video software.  Multiple team offsites per year with team events every month. ·More...,,"$129,000 - $160,000 a year",
CNC Programmer 1st shift,Employbridge,"East Syracuse, NY",  Creates medium to high complexity CNC programs using three+ axis CAM software.  The CNC Programmer prepares detailed manufacturing instructions and programming… ,,"$129,000 - $160,000 a year",
"Software Engineer III, Google Cloud Application Modernization",Google,"New York, NY (Chelsea area)","  We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking… ·More...",,"$129,000 - $160,000 a year",
software engineer jobs in New York State,,,,,,
Bioinformatics Software Engineer- Pharmacological Sciences,Mount Sinai,"New York, NY 10029","  Serving as a role model confronting racist, sexist, or other inappropriate actions by speaking up, challenging exclusionary organizational practices, and… ·More...",,"$96,600 - $220,000 a year",
Software and Data Engineer,Booz Allen,"Rome, NY",  14+ years of experience as a software engineer.  Experience with software version control and containerization.  TS/SCI clearance with a polygraph. ·More...,,"$96,600 - $220,000 a year",
Software Developer,Sumitomo Mitsui Banking Corporation,"New York, NY 10172","  5-8 years of professional experience in Software development.  The specific salary offered to an applicant will be based on their individual qualifications,… ·More...",,"$96,600 - $220,000 a year",
