Job Title,Company Name,Location,Description,Salary,MetaData,Posting
"Front End Engineer , Amazon",Amazon Advertising LLC,"New York, NY","  1+ years of agile software development methodology experience.  2+ years of non-internship professional front end, web or mobile software development using… ·More...",,"$129,300 - $223,600 a year",
Software Verification Engineer,Safe Flight Instrument,"White Plains, NY 10604 (Westchester County Airport area)","  Perform software analyses, requirements-based testing and perform structural coverage analysis of airborne software. ·More...",,"$129,300 - $223,600 a year",
University Grad 2025: Software Engineer - Frontend,Ramp Financial,"New York, NY","  Ramp is a financial operations platform designed to save businesses time and money.  As an early employee, you'll be working with a nimble team of committed and… ·More...",,"$129,300 - $223,600 a year",
OSTP Software Developer,Kitware,"Clifton Park, NY",  Existing experience with open source software development is a plus.  Members of the OSTP will learn to develop innovative open-source software platforms with… ·More...,,"$129,300 - $223,600 a year",
Software Engineer I,University of Rochester,"Rochester, NY","  The Software Engineer I provides technical expertise to create, modify and maintain software applications and systems through coding, software testing and… ·More...",,"$129,300 - $223,600 a year",
Software Engineer - Frontend,Datadog,"Hybrid work in New York, NY","  Your work will help thousands of customers to monitor the health and performance of their systems, no matter the scale. ·More...",,"$129,300 - $223,600 a year",
"Associate, Software Engineer",BlackRock Investments,"Hybrid work in New York, NY 10001","  Support all phases of the software development lifecycle, including requirements gathering, application design, system development, testing, implementation and… ·More...",,"$129,300 - $223,600 a year",
Senior Backend Software Engineer,Audicus,"New York, NY","  Oversee and mentor junior developers.  Manage and Execute on software engineering projects such as API development, integrations with partners, database… ·More...",,"$129,300 - $223,600 a year",
C# Developer,INFOTRON,"Hybrid work in New York, NY 10019","  This position requires you to design, construct, and maintain C# code for new and current projects.  You will be required to participate in design and planning… EmployerActive 3 days ago·More...",,"$129,300 - $223,600 a year",Active 3 days ago
Software Engineer,JPMorganChase,"New York, NY 10017 (Midtown area)",  Perform in depth software overviews of delivered software projects including each software component/process to other developers. ·More...,,"$129,300 - $223,600 a year",
Wealth Management-New York-Associate-Software Engineering,Goldman Sachs,"New York, NY 10282 (Battery Park area)","  Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber… ·More...",,"$129,300 - $223,600 a year",
"Software Engineer, Backend (3+ years of experience)",Captions,"New York, NY 10022 (Sutton Place area)","  Build scalable architecture and products that shape the future of video software.  Bridged a Language Gap, They Fell in Love. ·More...",,"$129,300 - $223,600 a year",
Software Engineer II,Disney Entertainment & ESPN Technology,"New York, NY",  Efficiently supports software throughout the lifecycle.  Participates in the code review to gain validated understanding of the fundamental knowledge of software… ·More...,,"$129,300 - $223,600 a year",
"Software Developer, Server-Side Technologies (Contract/Remote)",Jun Group,"Remote in New York, NY",  You have a proven track record of delivering high-quality code on time and within budget.  Contribute to cutting-edge greenfield projects that push the… ·More...,,"$129,300 - $223,600 a year",
software developer jobs in New York State,,,,,,
Programmer,BRONX DISTRICT ATTORNEY,"Bronx, NY",  Help with the software implementations by providing training and support for the staff who will operate and maintain the software/application. ·More...,,"$140,000 - $170,000 a year",
.Net Developer,DEPT OF HEALTH/MENTAL HYGIENE,"New York, NY 11101 (Long Island City area)","  NET Developer, you will play a crucial role in designing, developing, and maintaining high-quality software solutions.  Design, develop, and maintain robust . ·More...",,"$140,000 - $170,000 a year",
Senior Software Engineer (Infrastructure)published,Ploomber,"New York, NY 10014 (SoHo area)",  We're a well-funded startup (4.5M seed round in April 2022) with several years of runway.  Work with the founders on a daily basis. ·More...,,"$140,000 - $170,000 a year",
Nutanix Resident,"Technology Service Professionals, Inc","Spring Valley, NY",  Candidates must be authorized to work in the United States. EmployerActive 5 days ago·More...,,"$140,000 - $170,000 a year",Active 5 days ago
Senior Software Engineer 1 - Finance,The Farmer's Dog,"New York, NY",  Knowledge of programming languages and software development standard processes to ensure that projects are delivered on time and within budget. ·More...,,"$140,000 - $170,000 a year",
Software Engineer II,Wheels Up,"New York, NY 10001 (Chelsea area)","  Develop and maintain GraphQL APIs, ensuring efficient data retrieval and a smooth developer experience for client applications. ·More...",,"$140,000 - $170,000 a year",
SQL Database Developer,UNITED IT TECHNICAL SERVICES,"Buffalo, NY 14207",  Capital Market / Investment Domain experience is must..  Strong SQL Development skill – must.  Strong data modelling skills – must. EmployerActive 4 days ago·More...,,"$140,000 - $170,000 a year",Active 4 days ago
Enterprise Application Developer,Steel & O'Brien Manufacturing,"Hybrid work in Arcade, NY 14009","  Maintains Dev Ops environment and software repository.  Writes, tests, debugs and documents software.  The Enterprise Application Developer will work with… ·More...",,"$140,000 - $170,000 a year",
"Senior Software Engineer, Netcode (Backend)",Viam,"New York, NY","  Influencing our application's architecture and broader technical direction.  Engaging with diverse client types, from browsers to smart machines, mobile devices,… ·More...",,"$140,000 - $170,000 a year",
Embedded Software Programmer,GE Vernova Strategy & Innovation,"Niskayuna, NY 12309",  Work with GE businesses to help transition embedded controls and communication systems from early stage lab demonstrations to fieldable prototypes. ·More...,,"$140,000 - $170,000 a year",
Software Engineer - Infrastructure Foundation,X Corp.,"New York, NY","  3+ years of experience in large-scale software development, ideally at system level.  In-depth experience in Linux/Unix environments, with knowledge of various… ·More...",,"$140,000 - $170,000 a year",
Senior Software Engineer,ABC News,"New York, NY 10023 (Upper West Side area)","  Innovate and bring new perspectives on optimizing existing software solutions.  Design, build and test software solutions to meet the needs determined for each… ·More...",,"$140,000 - $170,000 a year",
"Software Developer, Item Relationships",Amazon.com Services LLC,"New York, NY",  They will be comfortable taking initiative and working alongside top-notch software developers.  Experience programming with at least one software programming… ·More...,,"$140,000 - $170,000 a year",
Software Engineer,Goliath Partners,"Hybrid work in New York, NY","  Develop trading and research infrastructure.  (Not a role that relates to Machine Learning/ Data Science, but rather - core Python Engineering & support). ·More...",,"$140,000 - $170,000 a year",
Embedded Software Engineer,Lockheed Martin,"Liverpool, NY 13088",  Experience with software configuration management.  Experience generating and maintaining program software documentation. ·More...,,"$140,000 - $170,000 a year",
software developer jobs in New York State,,,,,,
Software Developer,Fox Corporation,"New York, NY","OVERVIEW OF THE COMPANY Fox News Media FOX News Media operates the FOX News Channel (FNC), FOX Business Network (FBN), FOX News Digital, FOX News Audio, FOX…·More...",,"$103,000 - $206,000 a year",
Software Engineer - Appian,Sumitomo Mitsui Banking Corporation,"New York, NY 10172","SMBC Group is a top-tier global financial group. Headquartered in Tokyo and with a 400-year history, SMBC Group offers a diverse range of financial services,…·More...",,"$103,000 - $206,000 a year",
Python Developer,Amazee Global Ventures Inc,"Albany, NY",This is the Contract W2 opportunity with Amazee Global Ventures Inc. The Job Description given below is a Lead/ Architect level position. We welcome all…·More...,,"$103,000 - $206,000 a year",
2025 IoT/Ubicomp Summer Associate,JPMorganChase,"New York, NY 10001",JOB DESCRIPTION Are you looking for an exciting opportunity to join a dynamic and growing team in a fast paced and challenging area? This is a unique…·More...,,"$103,000 - $206,000 a year",
C++ Software Engineer,Adept Technology Consulting Inc,"Hauppauge, NY","SCM Products, Inc. is a growing company located in Long Island that produces products for the financial, presentation and emergency service industry. We are…·More...",,"$103,000 - $206,000 a year",
Senior Backend Engineer,Arrow Search Partners,"Remote in New York, NY",About the Company: Our client is a social media tech firm with a team of 40+ people globally and currently has Series B funding. They are seeking a Senior…·More...,,"$103,000 - $206,000 a year",
SharePoint Application Developer - 131 West 25th Street (Temporary),BRC,"Manhattan, NY","Job Description We are seeking a skilled SharePoint Application Developer to join our dynamic team. In this role, you will be responsible for designing,…EmployerActive 27 days ago·More...",,"$103,000 - $206,000 a year",Active 27 days ago
Software Engineer,Goliath Partners,"Hybrid work in New York, NY","New York $350,000 - $525,000 Permanent NEW EXCLUSIVE: SOFTWARE DEVELOPER (Options, C++) 2-4 Years of Experience in C++ Development Goliath has retained an…·More...",,"$103,000 - $206,000 a year",
"Back-End Engineer, ETF Engineering, Associate",BlackRock Investments,"Hybrid work in New York, NY",Job description About this role About this Role: Are you interested in building innovative technology that shapes the financial markets? Do you like…·More...,,"$103,000 - $206,000 a year",
